Rk,Player,HR,PA,Season,Age,Team,Lg,G,PA,AB,R,H,1B,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,TB,GIDP,HBP,SH,SF,IBB,Pos,Player-additional
146,Yonder Alonso,6,150,2017,30,SEA,AL,42,150,132,20,35,24,5,0,6,18,1,0,18,30,.265,.353,.439,.793,116,58,3,0,0,0,0,3/H,alonsyo01
147,J.P. Crawford,6,603,2022,27,SEA,AL,145,603,518,57,126,93,24,3,6,42,3,2,68,80,.243,.339,.336,.675,100,174,11,10,2,5,0,*6/H,crawfjp01
148,Corey Hart,6,255,2014,32,SEA,AL,68,255,232,17,47,32,9,0,6,21,2,0,16,59,.203,.271,.319,.590,71,74,1,6,0,1,1,D/9H37,hartco01
149,Guillermo Heredia,6,426,2017,26,SEA,AL,123,426,386,43,96,74,16,0,6,24,1,5,27,64,.249,.315,.337,.652,79,130,9,11,1,1,2,*87/H9D,heredgu01
150,José Marmolejos,6,115,2020,27,SEA,AL,35,115,107,12,22,12,4,0,6,18,0,1,7,32,.206,.261,.411,.672,85,44,2,1,0,0,0,7D/3H9,marmojo01
151,Dylan Moore,6,255,2022,29,SEA,AL,104,255,205,41,46,27,11,2,6,24,21,8,34,75,.224,.368,.385,.753,122,79,5,13,1,1,2,96H74/38D5,mooredy01
152,Carlos Peguero,6,155,2011,24,SEA,AL,46,155,143,14,28,17,3,2,6,19,0,1,8,54,.196,.252,.371,.622,76,53,0,3,0,1,2,7/9DH,pegueca01
153,Mallex Smith,6,566,2019,26,SEA,AL,134,566,510,70,116,82,19,9,6,37,46,9,42,141,.227,.300,.335,.635,73,171,7,11,2,1,0,*89/7HD,smithma05
154,Ichiro Suzuki,6,732,2010,36,SEA,AL,162,732,680,74,214,175,30,3,6,43,42,9,45,86,.315,.359,.394,.754,113,268,3,3,3,1,13,*9/D,suzukic01
155,Mike Sweeney,6,110,2010,36,SEA,AL,30,110,99,11,26,17,3,0,6,18,2,0,9,14,.263,.327,.475,.802,123,47,3,1,0,1,0,D/H3,sweenmi01
156,Eric Thames,6,130,2012,25,SEA,AL,40,130,123,10,27,14,5,2,6,14,1,0,6,47,.220,.256,.439,.695,93,54,0,0,1,0,0,9/H7D,thameer01
157,Randy Arozarena,5,239,2024,29,SEA,AL,54,239,199,32,46,27,14,0,5,23,4,3,28,68,.231,.356,.377,.733,117,75,4,11,0,1,0,7/8D,arozara01
158,Dominic Canzone,5,141,2023,25,SEA,AL,44,141,135,19,29,13,11,0,5,13,1,0,6,24,.215,.248,.407,.656,83,55,4,0,0,0,0,7D/9H,canzodo01
159,Mike Carp,5,189,2012,26,SEA,AL,59,189,164,17,35,24,6,0,5,20,1,0,21,46,.213,.312,.341,.654,87,56,7,3,0,1,1,73H/D,carpmi01
160,Jarrod Dyson,5,390,2017,32,SEA,AL,111,390,346,56,87,66,13,3,5,30,28,7,28,55,.251,.324,.350,.674,85,121,3,10,4,2,2,87/HD,dysonja01
161,Sam Haggerty,5,201,2022,28,SEA,AL,83,201,176,29,45,30,9,1,5,23,13,1,18,53,.256,.335,.403,.738,116,71,4,4,1,2,3,97H/D84,haggesa01
162,Guillermo Heredia,5,337,2018,27,SEA,AL,125,337,292,29,69,49,14,1,5,19,2,4,32,52,.236,.318,.342,.661,87,100,4,4,7,2,0,*87H/9D,heredgu01
163,Kyle Lewis,5,147,2021,25,SEA,AL,36,147,130,15,32,23,4,0,5,11,2,0,16,37,.246,.333,.392,.726,104,51,1,1,0,0,0,8/D,lewisky01
164,Shed Long Jr.,5,168,2019,23,SEA,AL,42,168,152,21,40,22,12,1,5,15,3,3,16,40,.263,.333,.454,.787,112,69,1,0,0,0,0,47/H5D,longsh01
165,Jesús Montero,5,116,2015,25,SEA,AL,38,116,112,11,25,14,6,0,5,19,0,0,4,32,.223,.250,.411,.661,82,46,2,0,0,0,0,3/DH,monteje01
166,Austin Nola,5,110,2020,30,SEA,AL,29,110,98,15,30,19,5,1,5,19,0,0,9,17,.306,.373,.531,.903,151,52,1,2,0,1,1,2/H35D,nolaau01
167,AJ Pollock,5,138,2023,35,SEA,AL,49,138,127,15,22,13,4,0,5,15,0,1,9,30,.173,.225,.323,.547,54,41,1,0,0,2,0,D7H,polloaj01
168,Justin Smoak,5,122,2010,23,SEA,AL,30,122,113,11,27,18,4,0,5,14,0,0,8,34,.239,.287,.407,.694,93,46,3,0,0,1,0,3/D,smoakju01
169,Ichiro Suzuki,5,721,2011,37,SEA,AL,161,721,677,80,184,154,22,3,5,47,40,7,39,69,.272,.310,.335,.645,86,227,11,0,1,4,13,*9D,suzukic01
170,Abraham Toro,5,253,2021,24,SEA,AL,60,253,226,28,57,41,11,0,5,26,3,2,22,33,.252,.328,.367,.695,96,83,4,4,0,1,0,4/5H,toroab01
171,Justin Turner,5,190,2024,39,SEA,AL,48,190,159,22,42,30,7,0,5,24,0,0,20,35,.264,.363,.403,.766,127,64,1,7,0,4,2,3D/H5,turneju01
172,Mike Zunino,5,193,2013,22,SEA,AL,52,193,173,22,37,27,5,0,5,14,1,0,16,49,.214,.290,.329,.620,78,57,5,3,0,1,0,2/H,zuninmi01
173,Dustin Ackley,4,427,2013,25,SEA,AL,113,427,384,40,97,73,18,2,4,31,2,3,37,72,.253,.319,.341,.660,90,131,6,1,4,1,1,487/H3D,ackledu01
174,Nori Aoki,4,467,2016,34,SEA,AL,118,467,417,63,118,86,24,4,4,28,7,9,34,45,.283,.349,.388,.738,104,162,9,9,5,1,0,*78H,aokino01
175,José Caballero,4,280,2023,26,SEA,AL,104,280,231,37,51,37,9,1,4,26,26,3,28,66,.221,.343,.320,.663,92,74,0,17,0,4,0,4H6/5D7,cabaljo01
176,Franklin Gutierrez,4,163,2012,29,SEA,AL,40,163,150,18,39,24,10,1,4,17,3,1,9,31,.260,.309,.420,.729,105,63,5,2,1,1,0,8/HD,gutiefr01
177,Shed Long Jr.,4,121,2021,25,SEA,AL,34,121,111,13,22,13,4,1,4,17,1,0,9,39,.198,.258,.360,.619,72,40,3,0,1,0,0,74/HD,longsh01
178,José Marmolejos,4,122,2021,28,SEA,AL,41,122,106,11,17,9,4,0,4,12,0,0,15,39,.160,.262,.311,.574,61,33,0,0,0,1,0,37/HD9,marmojo01
179,Adam Moore,4,218,2010,26,SEA,AL,60,218,205,12,40,30,6,0,4,15,0,1,8,63,.195,.230,.283,.513,44,58,3,2,1,2,1,2/H,mooread01
180,Luke Raley,4,219,2025,30,SEA,AL,73,219,183,23,37,25,8,0,4,19,2,1,19,64,.202,.319,.311,.631,85,57,2,13,3,1,0,93H/8D7,raleylu01
181,Víctor Robles,4,262,2024,27,SEA,AL,77,262,229,41,75,51,20,0,4,26,30,1,16,44,.328,.393,.467,.860,153,107,2,10,5,2,0,897/HD,roblevi01
182,Josh Rojas,4,134,2023,29,SEA,AL,46,134,125,24,34,26,4,0,4,14,6,0,9,30,.272,.321,.400,.721,105,50,1,0,0,0,0,4/H5,rojasjo01
183,Dee Strange-Gordon,4,588,2018,30,SEA,AL,141,588,556,62,149,120,17,8,4,36,30,12,9,80,.268,.288,.349,.637,79,194,10,9,9,5,0,48/6HD,gordode01
184,Ichiro Suzuki,4,423,2012,38,SEA,AL,95,423,402,49,105,81,15,5,4,28,15,2,17,40,.261,.288,.353,.642,82,142,10,0,0,4,4,9/D,suzukic01
185,Taylor Trammell,4,117,2022,24,SEA,AL,43,117,102,15,20,7,9,0,4,10,2,1,13,33,.196,.284,.402,.686,99,41,2,0,1,1,0,9/8H7D,trammta01
186,Matt Tuiasosopo,4,138,2010,24,SEA,AL,50,138,127,12,22,13,5,0,4,11,0,0,9,49,.173,.234,.307,.541,51,39,3,1,1,0,0,75H/36D4,tuiasma01
187,Luis Urías,4,109,2024,27,SEA,AL,41,109,94,11,18,7,7,0,4,16,0,0,9,34,.191,.303,.394,.696,104,37,2,6,0,0,0,5/HD,uriaslu01
188,Daniel Vogelbach,4,102,2018,25,SEA,AL,37,102,87,9,18,12,2,0,4,13,0,0,13,26,.207,.324,.368,.691,95,32,4,2,0,0,0,3H/D,vogelda01
189,Cole Young,4,257,2025,21,SEA,AL,77,257,223,24,47,35,7,1,4,24,1,0,28,47,.211,.302,.305,.607,78,68,4,2,2,2,1,4/H6D,youngco01
190,Josh Bard,3,126,2010,32,SEA,AL,39,126,112,9,24,14,7,0,3,10,0,0,10,27,.214,.276,.357,.634,77,40,4,0,3,1,0,2/H,bardjo01
191,Henry Blanco,3,107,2013,41,SEA,AL,35,107,96,8,12,7,2,0,3,14,0,0,10,26,.125,.215,.240,.455,31,23,2,1,0,0,0,2/H,blanche01
192,Jack Cust,3,270,2011,32,SEA,AL,67,270,225,19,48,29,15,1,3,23,0,0,44,87,.213,.344,.329,.673,96,74,3,1,0,0,2,D/H,custja01
193,Adam Frazier,3,602,2022,30,SEA,AL,156,602,541,61,129,100,22,4,3,42,11,6,46,73,.238,.301,.311,.612,80,168,15,5,4,6,1,*497H/D68,fraziad01
194,Ryan Langerhans,3,132,2010,30,SEA,AL,60,132,107,16,21,15,2,1,3,4,4,1,24,51,.196,.344,.318,.661,88,34,0,0,1,0,1,7H/93D8,langery01
195,Alex Liddi,3,126,2012,23,SEA,AL,38,126,116,8,26,18,4,1,3,10,2,1,9,49,.224,.278,.353,.631,79,41,0,0,0,1,0,5/73H,liddial01
196,Shed Long Jr.,3,128,2020,24,SEA,AL,34,128,117,10,20,12,5,0,3,9,4,0,11,37,.171,.242,.291,.533,49,34,1,0,0,0,0,4/H7D,longsh01
197,Cade Marlowe,3,100,2023,26,SEA,AL,34,100,88,14,21,13,3,2,3,11,4,2,12,33,.239,.330,.420,.750,113,37,1,0,0,0,0,7/H89D,marloca01
198,Leonys Martín,3,122,2017,29,SEA,AL,34,122,115,12,20,14,2,1,3,8,6,4,5,29,.174,.221,.287,.508,38,33,2,2,0,0,1,89/H,martile01
199,Jesús Montero,3,110,2013,23,SEA,AL,29,110,101,6,21,16,1,1,3,9,0,1,8,21,.208,.264,.327,.590,69,33,2,0,0,1,0,2/HD,monteje01
200,Trayvon Robinson,3,164,2012,24,SEA,AL,46,164,145,16,32,24,4,1,3,12,6,3,14,43,.221,.294,.324,.618,76,47,2,1,4,0,1,7/H,robintr01
